case_id,categoria,pregunta,status,metric_eligible,relevant_chunk_ids,retrieved_chunk_ids,recall_at_3,recall_at_5,precision_at_3,precision_at_5,error_code,error_message
BE-ES-002-Q01,Backend,¿Qué aplicación se construye en el tutorial de Django?,success,True,['BE-ES-002_CH_001'],"['BE-ES-002_CH_004', 'BE-ES-002_CH_003', 'BE-ES-002_CH_014', 'BE-ES-002_CH_001', 'BE-ES-002_CH_002']",0.0,1.0,0.0,0.2,,
BE-ES-002-Q02,Backend,¿Qué dos partes tiene la aplicación de encuestas?,success,True,['BE-ES-002_CH_001'],"['DS-ES-001_CH_002', 'BE-ES-002_CH_019', 'DS-ES-002_CH_002', 'BE-ES-002_CH_001', 'FE-ES-002_CH_006']",0.0,1.0,0.0,0.2,,
BE-ES-002-Q03,Backend,¿Qué comando crea el proyecto mysite dentro de djangotutorial?,success,True,['BE-ES-002_CH_005'],"['BE-ES-002_CH_006', 'BE-ES-002_CH_011', 'BE-ES-002_CH_005', 'BE-ES-002_CH_010', 'BE-ES-002_CH_004']",1.0,1.0,0.3333333333333333,0.2,,
BE-ES-002-Q04,Backend,¿Qué archivo contiene los ajustes o configuración del proyecto Django?,success,True,['BE-ES-002_CH_008'],"['BE-ES-002_CH_004', 'BE-ES-002_CH_002', 'BE-ES-002_CH_014', 'BE-ES-002_CH_003', 'BE-ES-002_CH_012']",0.0,0.0,0.0,0.0,,
BE-ES-002-Q05,Backend,¿Cuál es la diferencia entre un proyecto y una app en Django?,success,True,['BE-ES-002_CH_014'],"['BE-ES-002_CH_014', 'BE-ES-002_CH_004', 'BE-ES-002_CH_012', 'BE-ES-002_CH_003', 'BE-ES-002_CH_002']",1.0,1.0,0.3333333333333333,0.2,,
DS-ES-001-Q01,Data Science,¿Qué habilidad relacionada con variables enseña el módulo?,success,True,['DS-ES-001_CH_001'],"['DS-ES-001_CH_002', 'DS-ES-002_CH_002', 'DS-ES-002_CH_001', 'FE-ES-002_CH_005', 'DS-ES-001_CH_001']",0.0,1.0,0.0,0.2,,
DS-ES-001-Q02,Data Science,¿Qué tipo de operaciones numéricas se practican?,success,True,['DS-ES-001_CH_001'],"['FE-ES-002_CH_003', 'FE-ES-002_CH_005', 'FE-ES-002_CH_004', 'DS-ES-001_CH_001', 'BE-ES-001_CH_014']",0.0,1.0,0.0,0.2,,
DS-ES-001-Q03,Data Science,¿Qué habilidad de conversión de datos se enseña?,success,True,['DS-ES-001_CH_001'],"['DS-ES-002_CH_001', 'DS-ES-001_CH_001', 'FE-ES-002_CH_005', 'FE-ES-002_CH_004', 'AI-ES-002_CH_001']",1.0,1.0,0.3333333333333333,0.2,,
DS-ES-001-Q04,Data Science,¿Qué ejercicio práctico aparece en el módulo?,success,True,['DS-ES-001_CH_001'],"['DS-ES-002_CH_002', 'DS-ES-001_CH_002', 'DS-ES-002_CH_001', 'FE-ES-002_CH_004', 'FE-ES-002_CH_002']",0.0,0.0,0.0,0.0,,
DS-ES-001-Q05,Data Science,¿Qué aprenderá a almacenar y manipular el estudiante en este módulo?,success,True,['DS-ES-001_CH_001'],"['DS-ES-001_CH_001', 'DS-ES-002_CH_002', 'AI-ES-002_CH_001', 'DS-ES-001_CH_002', 'DS-ES-002_CH_001']",1.0,1.0,0.3333333333333333,0.2,,
DS-ES-002-Q01,Data Science,¿Qué transformación general de los datos motiva el módulo?,success,True,['DS-ES-002_CH_001'],"['DS-ES-002_CH_001', 'DS-ES-002_CH_002', 'DS-ES-001_CH_002', 'FE-ES-002_CH_005', 'CLD-ES-001_CH_009']",1.0,1.0,0.3333333333333333,0.2,,
DS-ES-002-Q02,Data Science,¿Qué es uno de los conceptos fundamentales tratados?,success,True,['DS-ES-002_CH_001'],"['FE-ES-002_CH_004', 'FE-ES-002_CH_005', 'DS-ES-002_CH_001', 'AI-ES-002_CH_002', 'AI-ES-001_CH_001']",1.0,1.0,0.3333333333333333,0.2,,
DS-ES-002-Q03,Data Science,¿Qué otro concepto de organización de datos se estudia?,success,True,['DS-ES-002_CH_001'],"['DS-ES-002_CH_001', 'CLD-ES-001_CH_004', 'CLD-ES-002_CH_004', 'BE-ES-001_CH_005', 'FE-ES-002_CH_005']",1.0,1.0,0.3333333333333333,0.2,,
DS-ES-002-Q04,Data Science,¿Qué aspecto visual del análisis se incluye?,success,True,['DS-ES-002_CH_001'],"['DS-ES-002_CH_001', 'DS-ES-002_CH_002', 'FE-ES-001_CH_004', 'DS-ES-001_CH_002', 'AI-ES-002_CH_001']",1.0,1.0,0.3333333333333333,0.2,,
DS-ES-002-Q05,Data Science,¿Qué requisito previo se indica?,success,True,['DS-ES-002_CH_001'],"['FE-ES-002_CH_002', 'DS-ES-001_CH_002', 'CLD-ES-002_CH_003', 'DS-ES-002_CH_002', 'AI-ES-002_CH_002']",0.0,0.0,0.0,0.0,,
FE-ES-001-Q01,Frontend,¿Qué es HTML según el documento?,success,True,['FE-ES-001_CH_002'],"['FE-ES-001_CH_002', 'FE-ES-001_CH_028', 'FE-ES-001_CH_026', 'FE-ES-001_CH_027', 'FE-ES-001_CH_030']",1.0,1.0,0.3333333333333333,0.2,,
FE-ES-001-Q02,Frontend,¿Qué conceptos básicos de HTML cubre el artículo?,success,True,['FE-ES-001_CH_001'],"['FE-ES-001_CH_028', 'FE-ES-001_CH_002', 'FE-ES-001_CH_048', 'FE-ES-001_CH_029', 'FE-ES-001_CH_001']",0.0,1.0,0.0,0.2,,
FE-ES-001-Q03,Frontend,¿Qué aprende el lector sobre los elementos HTML?,success,True,['FE-ES-001_CH_001'],"['FE-ES-001_CH_028', 'FE-ES-001_CH_049', 'FE-ES-001_CH_048', 'FE-ES-001_CH_002', 'FE-ES-001_CH_029']",0.0,0.0,0.0,0.0,,
FE-ES-001-Q04,Frontend,¿Qué aprende sobre una página HTML típica?,success,True,['FE-ES-001_CH_001'],"['FE-ES-001_CH_028', 'FE-ES-001_CH_049', 'FE-ES-001_CH_002', 'FE-ES-001_CH_001', 'FE-ES-001_CH_048']",0.0,1.0,0.0,0.2,,
FE-ES-001-Q05,Frontend,¿Qué puede hacer una etiqueta HTML con el contenido?,success,True,['FE-ES-001_CH_002'],"['FE-ES-001_CH_028', 'FE-ES-001_CH_013', 'FE-ES-001_CH_032', 'FE-ES-001_CH_005', 'FE-ES-001_CH_029']",0.0,0.0,0.0,0.0,,
FE-ES-002-Q01,Frontend,¿Qué tipos de estructuras de JavaScript se cubren explícitamente?,success,True,['FE-ES-002_CH_001'],"['FE-ES-002_CH_007', 'FE-ES-002_CH_004', 'FE-ES-001_CH_022', 'FE-ES-001_CH_044', 'FE-ES-001_CH_030']",0.0,0.0,0.0,0.0,,
FE-ES-002-Q02,Frontend,¿Qué conocimientos previos se recomiendan?,success,True,['FE-ES-002_CH_002'],"['FE-ES-002_CH_002', 'DS-ES-002_CH_001', 'AI-ES-002_CH_002', 'FE-ES-002_CH_007', 'DS-ES-002_CH_002']",1.0,1.0,0.3333333333333333,0.2,,
FE-ES-002-Q03,Frontend,¿Para qué sirven los bucles en JavaScript?,success,True,['FE-ES-002_CH_003'],"['FE-ES-002_CH_007', 'FE-ES-001_CH_047', 'FE-ES-001_CH_043', 'FE-ES-002_CH_004', 'FE-ES-001_CH_022']",0.0,0.0,0.0,0.0,,
FE-ES-002-Q04,Frontend,¿Qué ejemplo de evento en una página web menciona el documento?,success,True,['FE-ES-002_CH_006'],"['FE-ES-002_CH_006', 'FE-ES-001_CH_004', 'FE-ES-001_CH_026', 'FE-ES-001_CH_048', 'FE-ES-001_CH_005']",1.0,1.0,0.3333333333333333,0.2,,
FE-ES-002-Q05,Frontend,¿El módulo se limita únicamente a sintaxis básica?,success,True,['FE-ES-002_CH_001'],"['DS-ES-001_CH_002', 'DS-ES-002_CH_002', 'FE-ES-002_CH_004', 'DS-ES-002_CH_001', 'AI-ES-001_CH_002']",0.0,0.0,0.0,0.0,,
CLD-ES-001-Q01,Cloud / DevOps,¿Qué es Kubernetes?,success,True,['CLD-ES-001_CH_001'],"['CLD-ES-001_CH_001', 'CLD-ES-001_CH_002', 'CLD-ES-001_CH_005', 'CLD-ES-001_CH_014', 'CLD-ES-001_CH_003']",1.0,1.0,0.3333333333333333,0.2,,
CLD-ES-001-Q02,Cloud / DevOps,¿Qué facilita Kubernetes?,success,True,['CLD-ES-001_CH_001'],"['CLD-ES-001_CH_001', 'CLD-ES-001_CH_002', 'CLD-ES-001_CH_003', 'CLD-ES-001_CH_006', 'CLD-ES-001_CH_005']",1.0,1.0,0.3333333333333333,0.2,,
CLD-ES-001-Q03,Cloud / DevOps,¿En qué año liberó Google el proyecto Kubernetes?,success,True,['CLD-ES-001_CH_001'],"['CLD-ES-001_CH_001', 'CLD-ES-001_CH_003', 'CLD-ES-001_CH_005', 'CLD-ES-001_CH_014', 'CLD-ES-001_CH_002']",1.0,1.0,0.3333333333333333,0.2,,
CLD-ES-001-Q04,Cloud / DevOps,¿En qué tipo de entorno se centra la administración de Kubernetes?,success,True,['CLD-ES-001_CH_002'],"['CLD-ES-001_CH_002', 'CLD-ES-001_CH_006', 'CLD-ES-001_CH_008', 'CLD-ES-001_CH_001', 'CLD-ES-001_CH_005']",1.0,1.0,0.3333333333333333,0.2,,
CLD-ES-001-Q05,Cloud / DevOps,Menciona dos formas de describir a Kubernetes según el documento.,success,True,['CLD-ES-001_CH_002'],"['CLD-ES-001_CH_002', 'CLD-ES-001_CH_001', 'CLD-ES-001_CH_005', 'CLD-ES-001_CH_006', 'CLD-ES-001_CH_008']",1.0,1.0,0.3333333333333333,0.2,,
CLD-ES-002-Q01,Cloud / DevOps,¿Cuál es el nivel de la ruta de aprendizaje sobre conceptos de la nube?,success,True,['CLD-ES-002_CH_001'],"['CLD-ES-002_CH_001', 'CLD-ES-002_CH_002', 'CLD-ES-002_CH_003', 'CLD-ES-002_CH_004', 'DS-ES-002_CH_001']",1.0,1.0,0.3333333333333333,0.2,,
CLD-ES-002-Q02,Cloud / DevOps,¿Qué conocimientos previos se piden?,success,True,['CLD-ES-002_CH_003'],"['FE-ES-002_CH_002', 'AI-ES-002_CH_002', 'DS-ES-002_CH_001', 'FE-ES-002_CH_007', 'AI-ES-001_CH_001']",0.0,0.0,0.0,0.0,,
CLD-ES-002-Q03,Cloud / DevOps,¿Qué temas cubre el módulo 'Descripción de la informática en la nube'?,success,True,['CLD-ES-002_CH_003'],"['CLD-ES-002_CH_004', 'CLD-ES-002_CH_001', 'CLD-ES-002_CH_002', 'CLD-ES-001_CH_013', 'DS-ES-002_CH_001']",0.0,0.0,0.0,0.0,,
CLD-ES-002-Q04,Cloud / DevOps,¿Qué aborda el módulo sobre los servicios en la nube?,success,True,['CLD-ES-002_CH_004'],"['CLD-ES-002_CH_004', 'CLD-ES-002_CH_001', 'CLD-ES-002_CH_002', 'CLD-ES-002_CH_003', 'CLD-ES-001_CH_013']",1.0,1.0,0.3333333333333333,0.2,,
CLD-ES-002-Q05,Cloud / DevOps,¿Qué enseña la serie Introducción a la infraestructura en la nube?,success,True,['CLD-ES-002_CH_002'],"['CLD-ES-002_CH_001', 'CLD-ES-002_CH_002', 'CLD-ES-002_CH_004', 'CLD-ES-002_CH_003', 'DS-ES-002_CH_001']",1.0,1.0,0.3333333333333333,0.2,,
