case_id,document_id,categoria,pregunta,respuesta_esperada,seccion_evidencia,palabras_clave_evidencia,dificultad,estado_prueba,retrieved_chunk_ids,relevant_retrieved,notas,relevant_chunk_ids,num_relevant_chunks,ground_truth_status
FE-ES-002-Q02,FE-ES-002,Frontend,¿Qué conocimientos previos se recomiendan?,Familiaridad con los fundamentos de HTML y CSS y con los módulos previos de JavaScript.,Pre-requisitos,HTML; CSS; JavaScript,Básica,Pendiente de ejecutar,,,,FE-ES-002_CH_002,1,Validado
FE-ES-002-Q03,FE-ES-002,Frontend,¿Para qué sirven los bucles en JavaScript?,Permiten repetir una tarea más de una vez.,Guías,bucles; repetir; tarea,Básica,Pendiente de ejecutar,,,Pregunta reemplazada porque la respuesta original sobre funciones complejas y comportamiento dinámico no estaba explícitamente respaldada por los chunks.,FE-ES-002_CH_003,1,Validado
FE-ES-002-Q04,FE-ES-002,Frontend,¿Qué ejemplo de evento en una página web menciona el documento?,"El clic de un usuario en un botón que inicia una acción, como mostrar información.",Eventos,evento; clic; botón; acción; información,Básica,Pendiente de ejecutar,,,"Pregunta reemplazada porque los ejemplos originales de actualizaciones, mapas y gráficos no aparecen en los chunks procesados.",FE-ES-002_CH_006,1,Validado
FE-ES-002-Q05,FE-ES-002,Frontend,¿El módulo se limita únicamente a sintaxis básica?,"No. También aborda condicionales, bucles, funciones y eventos.",Descripción,condicionales; bucles; funciones; eventos,Básica,Pendiente de ejecutar,,,,FE-ES-002_CH_001,1,Validado
CLD-ES-001-Q01,CLD-ES-001,Cloud / DevOps,¿Qué es Kubernetes?,Una plataforma portable y extensible de código abierto para administrar cargas de trabajo y servicios.,¿Qué es Kubernetes?,plataforma; portable; extensible; código abierto; cargas de trabajo,Básica,Pendiente de ejecutar,,,,CLD-ES-001_CH_001,1,Validado
CLD-ES-001-Q02,CLD-ES-001,Cloud / DevOps,¿Qué facilita Kubernetes?,La automatización y la configuración declarativa.,¿Qué es Kubernetes?,automatización; configuración declarativa,Básica,Pendiente de ejecutar,,,,CLD-ES-001_CH_001,1,Validado
CLD-ES-001-Q03,CLD-ES-001,Cloud / DevOps,¿En qué año liberó Google el proyecto Kubernetes?,En 2014.,¿Qué es Kubernetes?,Google; 2014,Básica,Pendiente de ejecutar,,,,CLD-ES-001_CH_001,1,Validado
CLD-ES-001-Q04,CLD-ES-001,Cloud / DevOps,¿En qué tipo de entorno se centra la administración de Kubernetes?,En un entorno de administración centrado en contenedores.,¿Por qué necesito Kubernetes?,contenedores,Básica,Pendiente de ejecutar,,,,CLD-ES-001_CH_002,1,Validado
CLD-ES-001-Q05,CLD-ES-001,Cloud / DevOps,Menciona dos formas de describir a Kubernetes según el documento.,"Por ejemplo, como plataforma de contenedores, plataforma de microservicios o plataforma portable de nube.",¿Por qué necesito Kubernetes?,contenedores; microservicios; nube,Básica,Pendiente de ejecutar,,,,CLD-ES-001_CH_002,1,Validado
CLD-ES-002-Q01,CLD-ES-002,Cloud / DevOps,¿Cuál es el nivel de la ruta de aprendizaje sobre conceptos de la nube?,Principiante.,En un vistazo,principiante,Básica,Pendiente de ejecutar,,,,CLD-ES-002_CH_001,1,Validado
CLD-ES-002-Q02,CLD-ES-002,Cloud / DevOps,¿Qué conocimientos previos se piden?,Conocimientos básicos sobre términos y conceptos de TI.,Requisitos previos,TI; términos; conceptos básicos,Básica,Pendiente de ejecutar,,,,CLD-ES-002_CH_003,1,Validado
CLD-ES-002-Q03,CLD-ES-002,Cloud / DevOps,¿Qué temas cubre el módulo 'Descripción de la informática en la nube'?,"Conceptos de nube, modelos de implementación y responsabilidad compartida en la nube.",Módulo: Descripción de la informática en la nube,conceptos de nube; modelos; responsabilidad compartida,Básica,Pendiente de ejecutar,,,,CLD-ES-002_CH_003,1,Validado
CLD-ES-002-Q04,CLD-ES-002,Cloud / DevOps,¿Qué aborda el módulo sobre los servicios en la nube?,"Los distintos tipos de servicio en la nube, junto con casos de uso y ventajas de cada tipo.",Módulos en esta ruta de aprendizaje,tipos de servicio; nube; casos de uso; ventajas,Básica,Pendiente de ejecutar,,,"Pregunta reemplazada porque IaaS, PaaS y SaaS no aparecen explícitamente en los chunks procesados.",CLD-ES-002_CH_004,1,Validado
CLD-ES-002-Q05,CLD-ES-002,Cloud / DevOps,¿Qué enseña la serie Introducción a la infraestructura en la nube?,"Conceptos básicos de la nube, una visión general de servicios de Azure y ejercicios prácticos para implementar primeros servicios.",Introducción a la infraestructura en la nube,conceptos básicos; nube; Azure; ejercicios prácticos,Básica,Pendiente de ejecutar,,,Pregunta reemplazada porque las ventajas específicas no aparecen enumeradas en los chunks procesados.,CLD-ES-002_CH_002,1,Validado
