chunk_id,document_id,categoria,titulo_documento,chunk_index,char_count,chunk_text
BE-ES-001_CH_007,BE-ES-001,Backend,Primeros Pasos - FastAPI,7,782,"...
```

#### Para qué sirve OpenAPI

El esquema OpenAPI es lo que impulsa los dos sistemas de documentación interactiva incluidos.

Y hay docenas de alternativas, todas basadas en OpenAPI. Podrías añadir fácilmente cualquiera de esas alternativas a tu aplicación construida con FastAPI .

También podrías usarlo para generar código automáticamente, para clientes que se comuniquen con tu API. Por ejemplo, aplicaciones frontend, móviles o IoT.

### Configura el entrypoint de la app en pyproject.toml

`entrypoint`

`pyproject.toml`

Puedes configurar dónde está tu app en un archivo pyproject.toml así:

`pyproject.toml`

```text
[tool.fastapi]
entrypoint = ""main:app""
```

Ese entrypoint le dirá al comando fastapi que debe hacer el import de la app así:

`entrypoint`

`fastapi`"
BE-ES-001_CH_008,BE-ES-001,Backend,Primeros Pasos - FastAPI,8,788,"Ese entrypoint le dirá al comando fastapi que debe hacer el import de la app así:

`entrypoint`

`fastapi`

```text
from main import app
```

Si tu código estuviera estructurado así:

```text
.
├── backend
│   ├── main.py
│   ├── __init__.py
```

Entonces pondrías el entrypoint como:

`entrypoint`

```text
[tool.fastapi]
entrypoint = ""backend.main:app""
```

lo cual sería equivalente a:

```text
from backend.main import app
```

### fastapi dev con path o con la opción de CLI --entrypoint

`fastapi dev`

`--entrypoint`

También puedes pasar el path del archivo al comando fastapi dev , y adivinará el objeto app de FastAPI que debe usar:

`fastapi dev`

```text
$ uv run fastapi dev main.py
```

O, también puedes pasar la opción --entrypoint al comando fastapi dev :

`--entrypoint`"
BE-ES-001_CH_009,BE-ES-001,Backend,Primeros Pasos - FastAPI,9,777,"O, también puedes pasar la opción --entrypoint al comando fastapi dev :

`--entrypoint`

`fastapi dev`

```text
$ uv run fastapi dev --entrypoint main:app
```

Pero tendrías que recordar pasar el path\entrypoint correcto cada vez que llames al comando fastapi .

`fastapi`

Además, otras herramientas podrían no ser capaces de encontrarlo, por ejemplo la Extensión de VS Code o FastAPI Cloud , así que se recomienda usar el entrypoint en pyproject.toml .

`entrypoint`

`pyproject.toml`

### Despliega tu app (opcional)

Opcionalmente puedes desplegar tu app de FastAPI en FastAPI Cloud con un solo comando. 🚀

```text
$ uv run fastapi deploy

Deploying to FastAPI Cloud...

✅ Deployment successful!

🐔 Ready the chicken! Your app is ready at https://myapp.fastapicloud.dev
```"
BE-ES-001_CH_010,BE-ES-001,Backend,Primeros Pasos - FastAPI,10,741,"✅ Deployment successful!

🐔 Ready the chicken! Your app is ready at https://myapp.fastapicloud.dev
```

La CLI detectará automáticamente tu aplicación de FastAPI y la desplegará en la nube. Si no has iniciado sesión, se abrirá tu navegador para completar el proceso de autenticación.

¡Eso es todo! Ahora puedes acceder a tu app en esa URL. ✨

## Recapitulación, paso a paso

### Paso 1: importa FastAPI

`FastAPI`

```text
from fastapi import FastAPI

app = FastAPI()

@app.get(""/"")
async def root():
    return {""message"": ""Hello World""}
```

FastAPI es una clase de Python que proporciona toda la funcionalidad para tu API.

`FastAPI`

Detalles técnicos

FastAPI es una clase que hereda directamente de Starlette .

`FastAPI`

`Starlette`"
BE-ES-001_CH_011,BE-ES-001,Backend,Primeros Pasos - FastAPI,11,783,"`FastAPI`

Detalles técnicos

FastAPI es una clase que hereda directamente de Starlette .

`FastAPI`

`Starlette`

Puedes usar toda la funcionalidad de Starlette con FastAPI también.

`FastAPI`

### Paso 2: crea una ""instance"" de FastAPI

`FastAPI`

```text
from fastapi import FastAPI

app = FastAPI()

@app.get(""/"")
async def root():
    return {""message"": ""Hello World""}
```

Aquí la variable app será una ""instance"" de la clase FastAPI .

`app`

`FastAPI`

Este será el punto principal de interacción para crear toda tu API.

### Paso 3: crea una path operation

#### Path

""Path"" aquí se refiere a la última parte de la URL empezando desde la primera / .

`/`

Así que, en una URL como:

```text
https://example.com/items/foo
```

...el path sería:

```text
/items/foo
```

Nota"
BE-ES-001_CH_012,BE-ES-001,Backend,Primeros Pasos - FastAPI,12,778,"Así que, en una URL como:

```text
https://example.com/items/foo
```

...el path sería:

```text
/items/foo
```

Nota

Un ""path"" también es comúnmente llamado ""endpoint"" o ""ruta"".

Mientras construyes una API, el ""path"" es la forma principal de separar ""concerns"" y ""resources"".

#### Operación

""Operación"" aquí se refiere a uno de los ""métodos"" HTTP.

Uno de:

- POST

`POST`

- GET

`GET`

- PUT

`PUT`

- DELETE

`DELETE`

...y los más exóticos:

- OPTIONS

`OPTIONS`

- HEAD

`HEAD`

- PATCH

`PATCH`

- TRACE

`TRACE`

En el protocolo HTTP, puedes comunicarte con cada path usando uno (o más) de estos ""métodos"".

Al construir APIs, normalmente usas estos métodos HTTP específicos para realizar una acción específica.

Normalmente usas:

- POST : para crear datos.

`POST`"
BE-ES-001_CH_013,BE-ES-001,Backend,Primeros Pasos - FastAPI,13,745,"Normalmente usas:

- POST : para crear datos.

`POST`

- GET : para leer datos.

`GET`

- PUT : para actualizar datos.

`PUT`

- DELETE : para eliminar datos.

`DELETE`

Así que, en OpenAPI, cada uno de los métodos HTTP se llama una ""operación"".

Vamos a llamarlas "" operaciones "" también.

#### Define un path operation decorator

```text
from fastapi import FastAPI

app = FastAPI()

@app.get(""/"")
async def root():
    return {""message"": ""Hello World""}
```

El @app.get(""/"") le dice a FastAPI que la función justo debajo se encarga de manejar requests que vayan a:

`@app.get(""/"")`

- el path /

`/`

- usando una get operación

`get`

Información sobre @decorator

`@decorator`

Esa sintaxis @algo en Python se llama un ""decorador"".

`@algo`"
BE-ES-001_CH_014,BE-ES-001,Backend,Primeros Pasos - FastAPI,14,749,"`get`

Información sobre @decorator

`@decorator`

Esa sintaxis @algo en Python se llama un ""decorador"".

`@algo`

Lo pones encima de una función. Como un bonito sombrero decorativo (supongo que de ahí viene el término).

Un ""decorador"" toma la función de abajo y hace algo con ella.

En nuestro caso, este decorador le dice a FastAPI que la función de abajo corresponde al path / con una operation get .

`/`

`get`

Es el "" path operation decorator "".

También puedes usar las otras operaciones:

- @app.post()

`@app.post()`

- @app.put()

`@app.put()`

- @app.delete()

`@app.delete()`

Y los más exóticos:

- @app.options()

`@app.options()`

- @app.head()

`@app.head()`

- @app.patch()

`@app.patch()`

- @app.trace()

`@app.trace()`

Consejo"
BE-ES-001_CH_015,BE-ES-001,Backend,Primeros Pasos - FastAPI,15,781,"`@app.options()`

- @app.head()

`@app.head()`

- @app.patch()

`@app.patch()`

- @app.trace()

`@app.trace()`

Consejo

Eres libre de usar cada operación (método HTTP) como quieras.

FastAPI no fuerza ningún significado específico.

La información aquí se presenta como una guía, no un requisito.

Por ejemplo, cuando usas GraphQL normalmente realizas todas las acciones usando solo operaciones POST .

`POST`

### Paso 4: define la path operation function

Esta es nuestra "" path operation function "":

- path : es / .

`/`

- operation : es get .

`get`

- function : es la función debajo del ""decorador"" (debajo de @app.get(""/"") ).

`@app.get(""/"")`

```text
from fastapi import FastAPI

app = FastAPI()

@app.get(""/"")
async def root():
    return {""message"": ""Hello World""}
```"
BE-ES-001_CH_016,BE-ES-001,Backend,Primeros Pasos - FastAPI,16,727,"app = FastAPI()

@app.get(""/"")
async def root():
    return {""message"": ""Hello World""}
```

Esta es una función de Python.

Será llamada por FastAPI cuando reciba un request en la URL "" / "" usando una operación GET .

`/`

`GET`

En este caso, es una función async .

`async`

También podrías definirla como una función normal en lugar de async def :

`async def`

```text
from fastapi import FastAPI

app = FastAPI()

@app.get(""/"")
def root():
    return {""message"": ""Hello World""}
```

Nota

Si no sabes la diferencia, Revisa la sección Async: ""¿Tienes prisa?"" .

### Paso 5: retorna el contenido

```text
from fastapi import FastAPI

app = FastAPI()

@app.get(""/"")
async def root():
    return {""message"": ""Hello World""}
```"
BE-ES-001_CH_017,BE-ES-001,Backend,Primeros Pasos - FastAPI,17,768,"app = FastAPI()

@app.get(""/"")
async def root():
    return {""message"": ""Hello World""}
```

Puedes retornar un dict , list , valores singulares como str , int , etc.

`dict`

`list`

`str`

`int`

También puedes retornar modelos de Pydantic (verás más sobre eso más adelante).

Hay muchos otros objetos y modelos que serán automáticamente convertidos a JSON (incluyendo ORMs, etc). Intenta usar tus favoritos, es altamente probable que ya sean compatibles.

### Paso 6: Despliégalo

Despliega tu app en FastAPI Cloud con un solo comando: fastapi deploy . 🎉

`fastapi deploy`

#### Sobre FastAPI Cloud

FastAPI Cloud está construido por el mismo autor y equipo detrás de FastAPI .

Agiliza el proceso de construir , desplegar y acceder a una API con el mínimo esfuerzo."
BE-ES-001_CH_018,BE-ES-001,Backend,Primeros Pasos - FastAPI,18,744,"Agiliza el proceso de construir , desplegar y acceder a una API con el mínimo esfuerzo.

Trae la misma experiencia de desarrollador de construir apps con FastAPI a desplegarlas en la nube. 🎉

FastAPI Cloud es el sponsor principal y proveedor de financiación para los proyectos open source de FastAPI and friends . ✨

#### Despliega en otros proveedores cloud

FastAPI es open source y basado en estándares. Puedes desplegar apps de FastAPI en cualquier proveedor cloud que elijas.

Sigue las guías de tu proveedor cloud para desplegar apps de FastAPI con ellos. 🤓

## Recapitulación

- Importa FastAPI .

`FastAPI`

- Crea una instance app .

`app`

- Escribe un path operation decorator usando decoradores como @app.get(""/"") .

`@app.get(""/"")`"
BE-ES-001_CH_019,BE-ES-001,Backend,Primeros Pasos - FastAPI,19,349,"`app`

- Escribe un path operation decorator usando decoradores como @app.get(""/"") .

`@app.get(""/"")`

- Define una path operation function ; por ejemplo, def root(): ... .

`def root(): ...`

- Ejecuta el servidor de desarrollo usando el comando fastapi dev .

`fastapi dev`

- Opcionalmente, despliega tu app con fastapi deploy .

`fastapi deploy`"
BE-ES-002_CH_001,BE-ES-002,Backend,"Escribiendo su primera aplicación en Django, parte 1",1,719,"- Getting Help

- zh-hans

- sv

- pt-br

- pl

- ko

- ja

- it

- id

- fr

- en

- el

- dev

- 6.1

- 6.0

- 5.1

- 5.0

- 4.2

- 4.1

- 4.0

- 3.2

- 3.1

- 3.0

- 2.2

- 2.1

- 2.0

- 1.11

- 1.10

# Escribiendo su primera aplicación en Django, parte 1

Aprendamos mediante el ejemplo.

A través de este tutorial le mostraremos cómo crear una aplicación de encuestas básica.

Consistirá de dos partes:

- Un sitio público que le permite a las personas ver sondeos y votar en ellos.

Un sitio público que le permite a las personas ver sondeos y votar en ellos.

- Un sitio administrativo que le permite añadir, modificar y borrar sondeos.

Un sitio administrativo que le permite añadir, modificar y borrar sondeos."
BE-ES-002_CH_002,BE-ES-002,Backend,"Escribiendo su primera aplicación en Django, parte 1",2,470,"Un sitio administrativo que le permite añadir, modificar y borrar sondeos.

Asumiremos que ya ha instalado Django . Puede ver si Django está instalado, así como su versión, ejecutando el siguiente comando (señalado por el prefijo $):

```text
$ python -m django --version
```

```text
...\> py -m django --version
```

Si Django está instalado, debería ver la versión de su instalación. Si no es así, obtendrá un error indicando que «No existe el módulo llamado Django»."
BE-ES-002_CH_003,BE-ES-002,Backend,"Escribiendo su primera aplicación en Django, parte 1",3,560,"This tutorial is written for Django 5.2, which supports Python 3.10 and
later. If the Django version doesn’t match, you can refer to the tutorial for
your version of Django by using the version switcher at the bottom right corner
of this page, or update Django to the newest version. If you’re using an older
version of Python, check ¿Qué versión de Python puedo usar con Django? to find a compatible
version of Django.

Dónde obtener ayuda:

Si tiene problemas para seguir este tutorial, diríjase a la sección Obteniendo ayuda del FAQ.

## Creando un proyecto"
BE-ES-002_CH_004,BE-ES-002,Backend,"Escribiendo su primera aplicación en Django, parte 1",4,767,"Si tiene problemas para seguir este tutorial, diríjase a la sección Obteniendo ayuda del FAQ.

## Creando un proyecto

Si esta es la primera vez que utiliza Django, tendrá que hacerse cargo de ciertas configuraciones iniciales. Concretamente, tendrá que autogenerar un código que establezca un Django project – un conjunto de ajustes para una instancia de Django, incluida la configuración de la base de datos, opciones específicas de Django y configuraciones específicas de la aplicación.

From the command line, cd into a directory where you’d like to store your
code and create a new directory named djangotutorial . (This directory name
doesn’t matter to Django; you can rename it to anything you like.)

`cd`

`djangotutorial`

```text
$ mkdir djangotutorial
```"
BE-ES-002_CH_005,BE-ES-002,Backend,"Escribiendo su primera aplicación en Django, parte 1",5,796,"`cd`

`djangotutorial`

```text
$ mkdir djangotutorial
```

```text
...\> mkdir djangotutorial
```

Then, run the following command to bootstrap a new Django project:

```text
$ django-admin startproject mysite djangotutorial
```

```text
...\> django-admin startproject mysite djangotutorial
```

This will create a project called mysite inside the djangotutorial directory. If it didn’t work, see Problemas ejecutando django-admin .

`mysite`

`djangotutorial`

Nota

Tendrá que evitar darle nombres a sus proyectos que sean iguales a los de otros componentes integrados de Python o Django. En particular, esto quiere decir que debe evitar usar nombres como django (que entrará en conflicto con Django mismo) o test (que entrará en conflicto con un paquete interno de Python).

`django`

`test`"
BE-ES-002_CH_006,BE-ES-002,Backend,"Escribiendo su primera aplicación en Django, parte 1",6,673,"`django`

`test`

Veamos lo que el comando startproject creó:

`startproject`

```text
djangotutorial/
    manage.py
    mysite/
        __init__.py
        settings.py
        urls.py
        asgi.py
        wsgi.py
```

Estos archivos son:

- manage.py : Una utilidad de la línea de comandos que le permite interactuar con este proyecto Django de diferentes formas. Puede leer todos los detalles sobre manage.py en django-admin and manage.py .

manage.py : Una utilidad de la línea de comandos que le permite interactuar con este proyecto Django de diferentes formas. Puede leer todos los detalles sobre manage.py en django-admin and manage.py .

`manage.py`

`manage.py`"
BE-ES-002_CH_007,BE-ES-002,Backend,"Escribiendo su primera aplicación en Django, parte 1",7,638,"`manage.py`

`manage.py`

- mysite/ : A directory that is the actual Python package for your
project. Its name is the Python package name you’ll need to use to import
anything inside it (e.g. mysite.urls ).

mysite/ : A directory that is the actual Python package for your
project. Its name is the Python package name you’ll need to use to import
anything inside it (e.g. mysite.urls ).

`mysite/`

`mysite.urls`

- mysite/__init__.py : Un archivo vacío que le indica a Python que este directorio debería ser considerado como un paquete Python. Si usted es un principiante lea más sobre los paquetes en la documentación oficial de Python."
BE-ES-002_CH_008,BE-ES-002,Backend,"Escribiendo su primera aplicación en Django, parte 1",8,727,"mysite/__init__.py : Un archivo vacío que le indica a Python que este directorio debería ser considerado como un paquete Python. Si usted es un principiante lea más sobre los paquetes en la documentación oficial de Python.

`mysite/__init__.py`

- mysite/settings.py : Ajustes/configuración para este proyecto Django. Django settings le indicará todo sobre cómo funciona la configuración.

mysite/settings.py : Ajustes/configuración para este proyecto Django. Django settings le indicará todo sobre cómo funciona la configuración.

`mysite/settings.py`

- mysite/urls.py : Las declaraciones URL para este proyecto Django; una «tabla de contenidos» de su sitio basado en Django. Puede leer más sobre las URLs en URL dispatcher ."
BE-ES-002_CH_009,BE-ES-002,Backend,"Escribiendo su primera aplicación en Django, parte 1",9,658,"mysite/urls.py : Las declaraciones URL para este proyecto Django; una «tabla de contenidos» de su sitio basado en Django. Puede leer más sobre las URLs en URL dispatcher .

`mysite/urls.py`

- mysite/asgi.py : An entry-point for ASGI-compatible web servers to
serve your project. See How to deploy with ASGI for more details.

mysite/asgi.py : An entry-point for ASGI-compatible web servers to
serve your project. See How to deploy with ASGI for more details.

`mysite/asgi.py`

- mysite/wsgi.py : Un punto de entrada para que los servidores web compatibles con WSGI puedan servir su proyecto. Consulte :doc: ` /howto/deployment/wsgi/index`para más detalles."
BE-ES-002_CH_010,BE-ES-002,Backend,"Escribiendo su primera aplicación en Django, parte 1",10,736,"mysite/wsgi.py : Un punto de entrada para que los servidores web compatibles con WSGI puedan servir su proyecto. Consulte :doc: ` /howto/deployment/wsgi/index`para más detalles.

`mysite/wsgi.py`

## El servidor de desarrollo

Let’s verify your Django project works. Change into the djangotutorial directory, if you haven’t already, and run the following commands:

`djangotutorial`

```text
$ python manage.py runserver
```

```text
...\> py manage.py runserver
```

Verá la siguiente salida en la línea de comandos:

```text
Performing system checks...

System check identified no issues (0 silenced).

You have unapplied migrations; your app may not work properly until they are applied.
Run 'python manage.py migrate' to apply them."
BE-ES-002_CH_011,BE-ES-002,Backend,"Escribiendo su primera aplicación en Django, parte 1",11,703,"diciembre 02, 2025 - 15:50:53
Django version 5.2, using settings 'mysite.settings'
Starting development server at http://127.0.0.1:8000/
Quit the server with CONTROL-C.

WARNING: This is a development server. Do not use it in a production setting. Use a production WSGI or ASGI server instead.
For more information on production servers see: https://docs.djangoproject.com/en/5.2/howto/deployment/
```

Nota

Ignore por ahora la advertencia sobre las migraciones de bases de datos sin aplicar, nos ocuparemos de la base de datos dentro de poco.

Now that the server’s running, visit http://127.0.0.1:8000/ with your web
browser. You’ll see a «Congratulations!» page, with a rocket taking off.
It worked!"
BE-ES-002_CH_012,BE-ES-002,Backend,"Escribiendo su primera aplicación en Django, parte 1",12,627,"You’ve started the Django development server, a lightweight web server written
purely in Python. We’ve included this with Django so you can develop things
rapidly, without having to deal with configuring a production server – such as
Apache – until you’re ready for production.

Now’s a good time to note: don’t use this server in anything resembling a
production environment. It’s intended only for use while developing. (We’re in
the business of making web frameworks, not web servers.)

(To serve the site on a different port, see the runserver reference.)

`runserver`

Recarga automática del comando runserver

`runserver`"
BE-ES-002_CH_013,BE-ES-002,Backend,"Escribiendo su primera aplicación en Django, parte 1",13,537,"`runserver`

Recarga automática del comando runserver

`runserver`

El servidor de desarrollo recarga de forma automática el código Python para cada petición cuando sea necesario. No es necesario reiniciar el servidor para que los cambios de código surtan efecto. Sin embargo, algunas acciones como la adición de archivos no provoca un reinicio, por lo que tendrá que reiniciar el servidor en estos casos.

## Creando la aplicación encuestas

Ahora que su entorno (un «proyecto») se ha configurado, ya está listo para empezar a trabajar."
BE-ES-002_CH_014,BE-ES-002,Backend,"Escribiendo su primera aplicación en Django, parte 1",14,761,"Ahora que su entorno (un «proyecto») se ha configurado, ya está listo para empezar a trabajar.

Cada aplicación que usted escribe en Django consiste en un paquete de Python que sigue una determinada convención. Django tiene una utilidad que genera automáticamente la estructura básica de directorios de una aplicación, por lo que usted puede centrarse en la escritura de código en lugar de crear directorios.

Proyectos vs. aplicaciones

What’s the difference between a project and an app? An app is a web
application that does something – e.g., a blog system, a database of
public records or a small poll app. A project is a collection of
configuration and apps for a particular website. A project can contain
multiple apps. An app can be in multiple projects."
BE-ES-002_CH_015,BE-ES-002,Backend,"Escribiendo su primera aplicación en Django, parte 1",15,690,"Your apps can live anywhere in your Python path . In
this tutorial, we’ll create our poll app inside the djangotutorial folder.

`djangotutorial`

Para crear su aplicación, asegúrese de que está en el mismo directorio que el archivo manage.py y escriba este comando:

`manage.py`

```text
$ python manage.py startapp polls
```

```text
...\> py manage.py startapp polls
```

Esto creará un directorio polls , que se presenta de la siguiente manera:

`polls`

```text
polls/
    __init__.py
    admin.py
    apps.py
    migrations/
        __init__.py
    models.py
    tests.py
    views.py
```

Esta estructura de directorios almacenará la aplicación encuesta.

## Escriba su primera vista"
BE-ES-002_CH_016,BE-ES-002,Backend,"Escribiendo su primera aplicación en Django, parte 1",16,797,"Esta estructura de directorios almacenará la aplicación encuesta.

## Escriba su primera vista

Vamos a escribir la primera vista. Abra el archivo polls/views.py y ponga el siguiente código Python en ella:

`polls/views.py`

`polls/views.py`

```text
from django.http import HttpResponse

def index(request):
    return HttpResponse(""Hello, world. You're at the polls index."")
```

This is the most basic view possible in Django. To access it in a browser, we
need to map it to a URL - and for this we need to define a URL configuration,
or «URLconf» for short. These URL configurations are defined inside each
Django app, and they are Python files named urls.py .

`urls.py`

To define a URLconf for the polls app, create a file polls/urls.py with the following content:

`polls`

`polls/urls.py`"
BE-ES-002_CH_017,BE-ES-002,Backend,"Escribiendo su primera aplicación en Django, parte 1",17,790,"To define a URLconf for the polls app, create a file polls/urls.py with the following content:

`polls`

`polls/urls.py`

`polls/urls.py`

```text
from django.urls import path

from . import views

urlpatterns = [
    path("""", views.index, name=""index""),
]
```

Su directorio de aplicaciones ahora debería verse asi:

```text
polls/
    __init__.py
    admin.py
    apps.py
    migrations/
        __init__.py
    models.py
    tests.py
    urls.py
    views.py
```

The next step is to configure the root URLconf in the mysite project to
include the URLconf defined in polls.urls . To do this, add an import for django.urls.include in mysite/urls.py and insert an include() in the urlpatterns list, so you have:

`mysite`

`polls.urls`

`django.urls.include`

`mysite/urls.py`

`include()`"
BE-ES-002_CH_018,BE-ES-002,Backend,"Escribiendo su primera aplicación en Django, parte 1",18,654,"`mysite`

`polls.urls`

`django.urls.include`

`mysite/urls.py`

`include()`

`urlpatterns`

`mysite/urls.py`

```text
from django.contrib import admin
from django.urls import include, path

urlpatterns = [
    path(""polls/"", include(""polls.urls"")),
    path(""admin/"", admin.site.urls),
]
```

The path() function expects at least two arguments: route and view .
The include() function allows referencing other URLconfs.
Whenever Django encounters include() , it chops off whatever
part of the URL matched up to that point and sends the remaining string to the
included URLconf for further processing.

`path()`

`route`

`view`

`include()`

`include()`"
